Ind	Poids	Pression	Hues	Huefond	Lchair	ethylene	IR	AT	Glucose	Fructose	Malique
GoMo-A001	0.0655041593513023	65.7800000000001	52.9322424149603	79.5883287856154	234513.037138503	3.05574330632103	14.5747597963917	14.5747597963917	1.51696139616233	0.470579567999994	7.86907835446001
GoMo-A002	0.0547666593513034	94.7562499999992	57.5868955411417	70.5958870359939	280156.064971349	2.70767886383461	14.7747597963917	14.7747597963917	1.27974889893483	0.78215540850001	9.09939287295995
GoMo-A003	0.0648916593513019	64.3699999999999	44.4134074455853	67.0113709323037	238378.779162502	2.21372801009284			NA		
GoMo-A004	0.0669354093513027	47.925375	47.5678268203904	80.7686752625509	275366.919740889	1.70359522272317	13.8247597963917	13.8247597963917	1.54776107446436	1.243113531	10.6372819554599
GoMo-A005	0.0538566593513026	61.7249999999999	55.2587625725369	73.9530499298806	198569.046029281	3.94654570141871	13.7247597963916	13.7247597963916	1.34342880950353	1.1030631565	11.15240068396
GoMo-A006	0.0747129093513018	59.7181249999999	59.1921588337272	78.4825818187661	240398.023928001	2.61138916325425	14.8747597963917	14.8747597963917	1.32838333511531	0.851599713500001	8.74264969345991
GoMo-A007	0.0619166593513027	55.1199999999999	65.0308711517537	71.3112978477332	237078.036238437	1.70056963735272	12.5247597963917	12.5247597963917	1.44363572912293	0.848256971999998	8.53686668945999
GoMo-A008	0.0555729093513028	55.1417500000001	64.0169171710149	88.1622257045282	215517.313121704	3.41599438408582	13.1247597963917	13.1247597963917	1.22861419770043	0.848592920999999	7.63871874745993
GoMo-A009	0.0596541593513024	80.0500000000001	59.3817277265429	71.2003362535536	274753.719801	2.2205791446388	14.6247597963917	14.6247597963917	1.36333825336713	0.906773399000002	7.30578191395992
GoMo-A010	0.0653916593513023	50.1324999999997	58.0579924305814	69.5996247661489	213421.72140357	3.20143234448866	13.1247597963917	13.1247597963917	1.13147771553107	0.646708278000002	8.98891117795992
GoMo-A011	0.0621916593513021	57.7112499999999	53.0991237499259	85.4107037346624	275549.112029242	2.43332855384714	12.8747597963916	12.8747597963916	1.41104664879926	0.880078083999996	7.71994471046001
GoMo-A012	0.052629159351303	51.2187500000001	43.2460429284995	66.1039988786047	202766.051829032	2.19966012309504	14.4247597963917	14.4247597963917	1.36456679162613	0.660518554500001	9.26391554895989
GoMo-A013	0.0596404093513024	57.87375	65.7506546671419	84.4853999859148	220041.734884664	3.42830228750744	11.3247597963917	11.3247597963917	1.21892800667111	0.670233099999998	6.41497281396002
GoMo-A014	0.0705749926846356	84.8362499999997	74.1978265517476	88.7530726140298	204124.142467649	3.43683563832495	13.6747597963917	13.6747597963917	1.46924153538436	0.856295304000004	7.01119735245991
GoMo-A015	0.0601216593513027	70.7407499999999	55.4408846651984	80.2205778217982	261646.628208178	1.93537436042831	17.3747597963917	17.3747597963917	1.50490281326835	0.98524017	8.80352895245993
GoMo-A016	0.0700316593513023	65.390875	64.6860678776933	77.7302033034672	268045.510622852	2.48948538516167	12.9562724014337	12.9562724014337	1.26506441456551	0.678952472999995	11.9080687268423
GoMo-A017	0.0773729093513024	63.0882499999999	58.22447800076	73.2750572640668	203654.705436	2.86914205617145	13.3747597963917	13.3747597963917	1.2504173437304	0.545442481999999	7.61233902245999
GoMo-A018	0.0631591593513027	52.1449999999998	47.9330387362755	75.9363102398109	240960.938381351	3.23531434292913	13.4747597963917	13.4747597963917	1.26625055585534	0.795800643500005	7.0733888004599
GoMo-A019	0.0658329093513023	70.074625	73.3315384864243	81.6636721933252	219839.399309125	2.38856402264255	13.4247597963917	13.4247597963917	1.35309852647101	0.942436868999997	7.36306749995997
GoMo-A020	0.0637229093513019	48.959875	58.2854462684308	79.8269835932658	239413.018685492	2.37608050811478	16.7247597963916	16.7247597963916	1.32210860204925	0.927035017999999	7.85509602895998
GoMo-A021					NA	NA			NA		
GoMo-A022	0.0577916593513026	66.4728749999999	59.8344621757188	69.5695822601238	157822.688988	3.11683186698171	13.5247597963917	13.5247597963917	1.04599651184952	0.719998776000001	6.41959618795996
